date,time,id,m_20,m_25,f_20,f_25
20211031,0,11110,8640.2315,9093.0209,10440.255,8800.8029
20211031,0,11140,5974.8842,7895.7634,8097.1255,8576.4317
20211031,0,11170,8570.9216,11995.625,10330.5837,13407.1021
20211031,0,11200,10751.4503,13156.3122,13198.762,13657.5317
20211031,0,11215,13848.437,17641.242,18121.3402,18727.3447
20211031,0,11230,14857.7777,15475.3265,20862.1871,14946.4145
20211031,0,11260,10265.6846,13521.5336,11615.0588,14606.4447
20211031,0,11290,15505.0728,16220.4153,21459.0818,15819.1147
20211031,0,11305,9251.6548,11020.7678,11971.0805,10864.9283
20211031,0,11320,7930.8599,9275.4601,9084.0688,9546.0325
20211031,0,11350,17980.3181,15955.9802,19206.0693,15735.8483
20211031,0,11380,12326.8817,15433.1807,15050.9839,17398.9169
20211031,0,11410,12499.3896,14588.5721,19680.1609,16634.3354
20211031,0,11440,14545.5867,19078.3747,21599.9981,22619.8013
20211031,0,11470,9814.7097,11560.1795,11334.5188,12058.6132
20211031,0,11500,13376.0687,21314.6192,17531.9041,25509.0581
20211031,0,11530,8890.756,13961.8411,11525.3153,13970.1552
20211031,0,11545,5766.4315,10009.6318,6678.9597,9520.1238
20211031,0,11560,10807.1179,18075.1333,13669.2414,19768.408
20211031,0,11590,14559.8852,19226.1044,17832.7248,18484.3433
20211031,0,11620,20921.2722,34993.5799,25509.6151,31816.899
20211031,0,11650,12126.5266,14246.7289,14283.1582,15462.2247
20211031,0,11680,17118.789,21937.5593,21614.7735,24497.242
20211031,0,11710,17790.7199,24105.9433,21930.4617,27216.7551
20211031,0,11740,12873.6125,16468.0299,15119.4524,17794.9831
20211031,1,11110,8555.5481,9014.8259,10397.2487,8746.6567
20211031,1,11140,5933.7315,7830.7893,8015.3747,8493.7381
20211031,1,11170,8247.1381,11558.8001,9958.2371,13020.2174
20211031,1,11200,10683.2249,13233.143,13245.0413,13665.063
20211031,1,11215,13824.2319,17663.2056,18077.264,18757.1606
20211031,1,11230,14902.038,15487.718,20989.439,14987.0412
20211031,1,11260,10313.2659,13576.3685,11673.3953,14669.9835
20211031,1,11290,15563.4678,16199.5226,21489.9748,15840.5096
20211031,1,11305,9316.5029,11046.7726,12017.1199,10864.5373
20211031,1,11320,7906.4207,9289.831,9111.9579,9548.971
20211031,1,11350,18026.1282,15980.7709,19239.1196,15845.6823
20211031,1,11380,12384.4824,15457.6519,15065.9894,17421.379
20211031,1,11410,12365.5604,14562.5162,19617.4753,16524.8087
20211031,1,11440,14541.0791,18950.5347,21609.0305,22642.6129
20211031,1,11470,9759.5322,11529.1983,11288.0702,12026.0006
20211031,1,11500,13436.6442,21410.864,17610.9732,25465.3373
20211031,1,11530,9017.1281,13922.5244,11561.8174,13965.8698
20211031,1,11545,5716.8254,9932.635,6673.6622,9602.0122
20211031,1,11560,10766.2868,17983.4386,13470.6199,19712.8247
20211031,1,11590,14461.2289,19311.3742,17898.8361,18495.6186
20211031,1,11620,21085.1593,35174.1555,25644.0671,31939.9796
20211031,1,11650,11896.2549,13944.7672,14174.662,15324.1827
20211031,1,11680,17146.7885,21746.2951,21406.457,24307.8733
20211031,1,11710,17812.1862,24057.193,21791.6284,27211.6798
20211031,1,11740,12945.7953,16533.5178,15123.289,17838.933
20211031,2,11110,8577.4287,9004.328,10332.3816,8652.1987
20211031,2,11140,5877.8596,7820.2233,8001.0807,8432.8445
20211031,2,11170,8037.1243,11188.4809,9762.6195,12754.7511
20211031,2,11200,10647.6686,13157.2939,13235.9252,13681.7387
20211031,2,11215,13733.1705,17659.1757,18094.3529,18699.2301
20211031,2,11230,14976.9683,15563.4271,21073.1388,14977.7477
20211031,2,11260,10374.2166,13605.1329,11708.0679,14704.9281
20211031,2,11290,15611.9304,16191.2464,21520.3923,15882.6008
20211031,2,11305,9308.3794,11079.347,12023.8764,10952.0172
20211031,2,11320,7990.4036,9370.7746,9116.3981,9530.7806
20211031,2,11350,18074.8071,15981.7462,19306.4683,15902.9611
