sgg_nm,id,year,smoking_freq
종로구,11110,2018,969
중구,11140,2018,1786
용산구,11170,2018,191
성동구,11200,2018,950
광진구,11215,2018,1415
동대문구,11230,2018,799
중랑구,11260,2018,233
성북구,11290,2018,466
강북구,11305,2018,264
도봉구,11320,2018,358
노원구,11350,2018,2693
은평구,11380,2018,621
서대문구,11410,2018,391
마포구,11440,2018,366
양천구,11470,2018,744
강서구,11500,2018,1294
구로구,11530,2018,710
금천구,11545,2018,1123
영등포구,11560,2018,6778
동작구,11590,2018,520
관악구,11620,2018,528
서초구,11650,2018,18728
강남구,11680,2018,1224
송파구,11710,2018,2343
강동구,11740,2018,883
