"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"삼두어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로59길 16-17","서울특별시 영등포구 신길동 2-5번지","서울특별시 영등포구청","37.51456282","126.9242916","2020-09-21","","2021-10-17 11:36:46.0"
"사랑어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로43라길 9 109동 102호(신길동삼환아파트)","서울특별시 영등포구 신길동 897-1번지 109동 102호 삼환아파트","서울특별시 영등포구청","37.50796407","126.9195138","2020-09-21","","2021-10-17 11:36:46.0"
"사랑나무어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로 313 건영아파트 라동 101호","서울특별시 영등포구 신길동 364번지 건영아파트 라동 101호","서울특별시 영등포구청","37.50598434","126.9009752","2020-09-21","","2021-10-17 11:36:46.0"
"비율라어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로141가길 33-4","서울특별시 영등포구 문래동4가 11-7번지","서울특별시 영등포구청","37.5161396908","126.8892982","2020-09-21","","2021-10-17 11:36:46.0"
"튼튼어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 디지털로37길 5 (대림동)","서울특별시 영등포구 대림동 1083-5번지","서울특별시 영등포구청","37.48915039","126.8987412","2020-09-21","","2021-10-17 11:36:46.0"
"토마토어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 디지털로 455-7 1층","서울특별시 영등포구 대림동 909-57번지 1층","서울특별시 영등포구청","37.49629227","126.906961","2020-09-21","","2021-10-17 11:36:46.0"
"태양어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 가마산로45길 13-1 (대림동)","서울특별시 영등포구 대림동 658번지","서울특별시 영등포구청","37.50328555","126.8986951","2020-09-21","","2021-10-17 11:36:46.0"
"킨더벨트어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로43라길 9 107동 101호(신길동 삼환아파트)","서울특별시 영등포구 신길동 897-1번지 107동 101호 삼환아파트","서울특별시 영등포구청","37.50796407","126.9195138","2020-09-21","","2021-10-17 11:36:46.0"
"킨더리베어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로43라길 9 101동 108호(신길동 삼환아파트)","서울특별시 영등포구 신길동 897-1번지 101동 108호 삼환아파트","서울특별시 영등포구청","37.50796407","126.9195138","2020-09-21","","2021-10-17 11:36:46.0"
"키즈빈생태어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래동4가 선유로 26-1 고산빌딩1층","서울특별시 영등포구 문래동4가 10-7번지 고산빌딩 1층","서울특별시 영등포구청","37.51629584","126.8886675","2020-09-21","","2021-10-17 11:36:46.0"
"키즈꿈나무어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로143길 32 삼환아파트 102동 101호","서울특별시 영등포구 문래동4가 43번지 문래동삼환아파트 102동 101호","서울특별시 영등포구청","37.5136499","126.8890108","2020-09-21","","2021-10-17 11:36:46.0"
"선유중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유로 213","서울특별시 영등포구 양평동3가 82번지","서울특별시 영등포구청","37.5332864654","126.8943006820","2020-09-21","","2021-10-17 11:36:46.0"
