연번,업종명,상호,영업소소재지(도로 명),"실외, 실내",실외흡연실 형태,
1,가상체험 체육시설업,삼진스트라이크존 (야구종목),"서울특별시 광진구 능동로 13길 39, 한아름건물 2층 (화양동)",실내,,
2,가상체험 체육시설업,중곡스크린골프,"서울특별시 광진구 능동로 409, 지1층 (중곡동)",실내,,
3,가상체험 체육시설업,JD스크린골프,"서울특별시 광진구 면목로 192, B1 (중곡동)",실내,,
4,가상체험 체육시설업,레전드 건대,"서울특별시 광진구 아차산로 237, 삼진빌딩 지하2층 (화양동)",실내,,
5,골프연습장업,비스코 토탈 휘트니스,"서울특별시 광진구 광나루로 56길 85, 12층 (구의동, 테크노마트)",실내,,
6,골프연습장업,리디자인골프,"서울특별시 광진구 광나루로 606, 지하1층 (구의동)",실내,,
7,골프연습장업,골프명가,"서울특별시 광진구 광나루로 621, 지하1층 (광장동)",실내,,
8,골프연습장업,광진 S1 골프 아카데미,"서울특별시 광진구 구의강변로 30 (구의동, 목림빌딩 지하2층)",실내,,
9,골프연습장업,X-Golfpro 구의점,"서울특별시 광진구 구의강변로 3가길 33, 지하1층 (구의동)",실내,,
10,골프연습장업,강변스크린골프연습장,"서울특별시 광진구 구의강변로 45, 4층 (구의동, 구의동 복합빌딩)",실내,,
11,골프연습장업,이튼 스크린 골프,"서울특별시 광진구 능동로 18, B01-3호 (자양동, 이튼타워리버3차)",실내,,
12,골프연습장업,JB 골프아카데미,"서울특별시 광진구 뚝섬로 33길 45 (자양동, 상석빌딩)",실내,,
13,골프연습장업,제이디 골프 연습장,서울특별시 광진구 면목로 192 (중곡동),실내,,
14,골프연습장업,NK 골프클럽,서울특별시 광진구 용마산로 21 (중곡동),실내,,
15,당구장업,에이스당구장,"서울특별시 광진구 광나루로 37길 8, 지층 (구의동)",실내,,
16,당구장업,테크노당구장,"서울특별시 광진구 광나루로 56길 63 (구의동, 지하1층 101호,102호,103호)",실내,,
17,당구장업,제일당구장,서울특별시 광진구 광나루로 608 (구의동),실내,,
18,당구장업,로얄당구장,"서울특별시 광진구 구의강변로 35, 삼진빌딩 지하1층 (구의동)",실내,,
19,당구장업,일번지 당구장,"서울특별시 광진구 구의로 70 (구의동, 영덕빌딩 2층 201호)",실내,,
20,당구장업,퓨전당구장,서울특별시 광진구 군자로 141 (군자동),실내,,
21,당구장업,양지당구장,"서울특별시 광진구 군자로 145, 2층 (군자동)",실내,,
