name,sido,sgg_nm,area_detail,adress,lat,long
은행나무로입구,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 은행나무로 51,37.45115608,126.908084
시흥대교,서울특별시,금천구,가로변 버스정류장,,,126.894776
가산디지털단지역1호선,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 186,37.48191309,126.8815811
독산역,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 1,37.466211,126.8871729
독산역,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 2,37.46683419,126.8879997
남부여성발전센터앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로38길 84,37.462535,126.905205
남부여성발전센터앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로50길 23,37.46321816,126.9056423
에이스하이엔드10차,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 34,37.46937339,126.8873984
대륭테크노타운17차,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 33,37.46905385,126.8859495
범일운수종점,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥동 270-6,,
한울중학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로54길 6,37.46364031,126.9076165
한울중학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로50길 60,37.46240099,126.9071815
STVX타워,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 128,37.47723652,126.8836952
마이크로오피스사거리앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털2로 40,37.47227683,126.8833393
남문시장입구청춘삘딩,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산로 25,37.471119,126.900103
LG전자,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 51,37.47101915,126.8851235
LG전자,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 51,37.47101915,126.8851235
구로세관,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 78,37.47309611,126.8859162
구로세관,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 75,37.47244167,126.8845807
디지털단지오거리 가산파출소,서울특별시,금천구,가로변 버스정류장,,37.479821,126.888589
금천패션아울렛사거리마리오,서울특별시,금천구,가로변 버스정류장,,37.478544,126.888424
7호선가산디지털단지역,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 168 (가산디지털단지역 5번출구 앞),37.47996643,126.8826362
마리오아울렛,서울특별시,금천구,가로변 버스정류장,,37.455734,
벽산디지털밸리,서울특별시,금천구,가로변 버스정류장,,37.434878,126.904883
제일모직아울렛,서울특별시,금천구,가로변 버스정류장,,37.439645,126.905003
진도아파트,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 두산로 36,37.47024357,126.891916
현대지식산업센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 두산로 70,37.46896278,126.8956207
가산디지털단지역입구,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 디지털로9길 68,37.48107584,126.8864183
가산동 기점,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가마산로 78,37.48465494,126.8750972
범일운수종점,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 금하로 737,37.45043895,126.9117413
삼익아파트앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로50길 89,37.46375636,126.9091263
삼익아파트,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로50길 90,37.462337,126.909181
디지털3단지영창실업,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 205-16,37.48350222,126.8792896
디지털3단지한일합섬,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 159-38,37.47957641,126.879579
디지털3단지운동장,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털2로 168,37.482706,126.878172
남문시장입구,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산로 18,37.47132757,126.9009616
가산디지털단지역,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 벚꽃로 298,37.48144017,126.8838717
스타벨리앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 디지털로9길 99,37.481617,126.884831
독산동남문시장,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 299,37.473553,126.903082
독산동남문시장,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 298-1,37.473308,126.9034857
경성산업사,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 벚꽃로 182,37.471272,126.887881
BYC하이시티,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산디지털1로 131,37.47704782,126.8822155
금빛공원앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 금하로 668,37.45266794,126.9044062
금빛공원앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 금하로 663-1,37.453351,126.9045349
경동택배,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 은행나무로 15,37.450468,126.904232
삼화약국,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 은행나무로 12-1,37.450051,126.904002
대우당약국,서울특별시,금천구,가로변 버스정류장,,37.480595,126.883414
화인전자산업,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 42,37.45100783,126.906116
독산동정훈단지,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 211,37.46550618,126.901956
독산동정훈단지,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 196,37.46455351,126.903007
독산초등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 범안로 1241,37.46662897,126.899762
독산초등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 범안로 1246,37.46631225,126.900343
독산4동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 232,37.46755353,126.902135
독산동성당앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 249,37.46912826,126.9021077
독산동성당앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 258,37.46973043,126.902786
독산동쌈지공원,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 275,37.471358,126.9028858
독산동쌈지공원,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 278,37.471443,126.903284
독산3동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 319,37.475303,126.903277
독산3동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로102길 1,37.475854,126.903726
모두의학교금천문화예술정보학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 359,37.47894116,126.9036494
모두의학교금천문화예술정보학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 358,37.47870757,126.904008
모두의학교금천문화예술정보학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 남부순환로 1394,37.47994696,126.905628
신림푸르지오아파트,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 남부순환로 1426,37.48053825,126.909139
독산고등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 문성로 67,37.47804558,126.910742
독산고등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 문성로 72,37.47703405,126.911654
독산3치안센터꿈꾸는 나무,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 문성로 29-1,37.47680844,126.906955
독산3치안센터꿈꾸는 나무,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 문성로 34,37.4765291,126.9074079
금천우체국독산1동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 두산로 83,37.469821,126.897213
진도아파트,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 두산로 41,37.470638,126.892434
제일모직아울렛,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산로9길 96 (제일모직아울렛 앞),37.47555818,126.8870986
벽산디지털밸리,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 벚꽃로 244,37.476704,126.8858068
마리오아울렛,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 벚꽃로 266,37.47844577,126.8850808
국민연금관리공단앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 벚꽃로 286,37.480308,126.884194
가산디지털단지역,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 벚꽃로 309,37.48159574,126.8825595
금천우체국독산1동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 409,37.470143,126.897608
홈플러스금천점,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 391,37.468649,126.896811
홈플러스금천점,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 392,37.46845624,126.898315
시흥사거리,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 215,37.4529344,126.900836
문일고입구,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 189,37.45061849,126.901551
문일고입구,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 184,37.45048369,126.9027398
남서울힐스테이트 국립전통예술고,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 143,37.446917,126.903045
금천폭포공원.천주교시흥성당,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 150,37.44762508,126.903652
박미마을,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 81,37.44131139,126.9030983
박미마을,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 98,37.442723,126.9040073
기아대교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 59,37.439347,126.902801
시흥3동주민센터앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 46,37.43777673,126.9037818
석수역,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 시흥대로 46,37.43777673,126.9037818
백산초등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 9,37.44892175,126.904123
백산초등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 12,37.44861907,126.904304
은행나무입구사거리,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 43,37.45123107,126.905714
은행나무입구사거리,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 46,37.45143207,126.906143
경남아파트,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 70,37.45353644,126.906324
시흥초등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 81-1,37.45463315,126.9057715
시흥초등학교,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 90-1,37.455416,126.906008
동산교회앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 113,37.457401,126.905233
동산교회앞,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 110-1,37.45720833,126.905639
현대시장시흥4동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 139,37.45970576,126.904746
현대시장시흥4동주민센터,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 134,37.459236,126.905241
남부여성발전센타,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 169-1,37.462417,126.903985
남부여성발전센타,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 독산로 170,37.462453,126.904406
독산사거리,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 가산로 58,37.4719572,126.8967498
독산주공13단지,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 한내로 69-15 (독산주공아파트 1316동 앞),37.45738742,126.8865505
독산1동한신코아,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 한내로 62 (한신코아 앞),37.45539073,126.8888778
독산주공14단지,서울특별시,금천구,가로변 버스정류장,서울특별시 금천구 한내로 69-54 (신광교회 앞 안양천로변),37.4602258,126.8858148
독산주공14단지,서울특별시,금천구,가로변 버스정류장,,37.464613,126.884359
