date,time,id,m_20,m_25,f_20,f_25
20211025,0,11740540,400.7797,424.947,413.0816,392.7534
20211025,0,11350600,3212.3123,1709.0394,2968.6958,1419.5697
20211025,0,11350595,1966.4741,1863.1585,2243.7038,1725.9672
20211025,0,11140680,134.0834,228.9021,210.2214,279.8621
20211025,0,11140670,292.9771,557.6653,555.6286,776.0598
20211025,0,11110670,281.8729,287.1581,278.544,297.6985
20211025,0,11110550,516.3919,414.681,453.4811,452.53
20211025,0,11140665,255.9695,288.35,307.7026,328.1417
20211025,0,11110540,289.8954,93.8558,89.0443,93.8252
20211025,0,11110530,236.1622,418.4982,334.5837,423.8746
20211025,0,11110515,667.2946,605.7227,441.7399,489.0537
20211025,0,11110580,122.7971,249.9122,314.6107,256.5935
20211025,0,11110650,1872.5164,1634.2239,3190.1459,1398.9362
20211025,0,11110570,416.0322,212.8565,225.4712,185.4158
20211025,0,11110560,545.051,503.0058,539.8529,506.2302
20211025,0,11110600,173.2937,120.0586,160.5306,109.1128
20211025,0,11110640,695.1889,821.7652,772.5595,1058.3113
20211025,0,11110630,328.7236,440.1084,354.1711,393.386
20211025,0,11110615,834.4334,1138.8284,1021.0802,837.5764
20211025,0,11110690,180.3796,199.7177,203.4559,214.0568
20211025,0,11140650,304.921,463.5614,434.9605,499.5243
20211025,0,11140550,237.2466,427.0591,436.1015,413.6349
20211025,0,11110680,412.3305,369.6899,600.7731,377.7206
20211025,0,11140540,187.8982,234.0687,251.9239,291.1326
20211025,0,11110700,198.3126,230.6306,317.0369,315.7778
20211025,0,11140520,152.0357,283.2301,169.3575,301.7649
20211025,0,11110710,377.5048,698.1224,760.4048,791.5638
20211025,0,11140590,555.9318,833.8176,898.2755,1000.6816
20211025,0,11140645,428.8657,532.3416,439.5089,574.6498
20211025,0,11140580,542.0767,526.2779,643.8936,465.044
20211025,0,11140570,442.0278,422.9903,537.407,360.1511
20211025,0,11140635,324.682,473.809,506.5835,541.0394
20211025,0,11140605,190.4837,342.1571,300.7597,379.547
20211025,0,11140625,365.401,629.8151,560.1426,659.8741
20211025,0,11140615,1218.7923,1519.4475,1267.4278,1322.9856
20211025,0,11170660,332.3323,584.305,381.873,737.2434
20211025,0,11170555,675.7615,1064.2002,1854.3275,1495.6589
20211025,0,11350580,727.6902,839.8882,882.9986,878.8152
20211025,0,11200670,497.3907,919.6758,653.2235,817.6053
20211025,0,11260520,633.6622,786.4944,719.7803,908.8369
20211025,0,11170530,381.2908,472.2889,497.2184,423.4494
20211025,0,11170520,450.505,644.4661,448.7603,678.1951
20211025,0,11170510,377.5598,600.5681,419.8957,618.0856
20211025,0,11170580,279.1127,360.4441,407.3505,456.9239
20211025,0,11170650,365.3092,566.6936,350.9317,548.9486
20211025,0,11170570,351.98,465.9041,528.9574,610.2272
20211025,0,11170560,450.7149,900.5019,756.07,1166.5389
20211025,0,11170640,129.0135,176.4398,158.7499,210.1613
20211025,0,11170590,277.8294,352.8476,351.3018,467.2352
20211025,0,11170630,461.488,473.8683,617.63,597.3671
20211025,0,11170625,1401.1207,1273.5902,1017.6298,1600.4914
20211025,0,11170690,362.7367,394.6662,441.8363,429.5402
20211025,0,11200660,438.9903,623.3085,503.3131,748.608
20211025,0,11200550,2198.4106,1916.6372,2310.857,1510.3461
20211025,0,11170685,612.3459,1027.42,650.7774,1004.8014
20211025,0,11200540,911.298,1010.9077,1232.3856,986.5263
20211025,0,11170700,426.5883,668.9344,344.8685,573.7282
20211025,0,11200535,929.2513,1360.7033,1437.9888,1727.3647
20211025,0,11200520,388.6935,556.2408,543.7603,665.3182
20211025,0,11200580,353.6814,301.189,329.2787,321.7879
20211025,0,11200650,510.7531,686.2482,462.5171,621.0068
20211025,0,11200570,535.6797,593.9637,730.9633,791.7283
20211025,0,11200560,599.6213,651.7253,702.0652,701.4291
20211025,0,11200645,366.6572,676.8549,602.9268,753.8438
20211025,0,11200590,378.745,402.2501,445.5186,510.191
20211025,0,11200620,264.0566,305.678,255.2579,397.038
20211025,0,11200615,528.9679,606.3836,573.525,722.9527
20211025,0,11200690,577.4523,1047.1337,708.1564,1125.1087
20211025,0,11215847,859.2738,959.2575,1151.3143,1079.6903
20211025,0,11215740,512.9461,874.0331,725.7853,1097.756
20211025,0,11230750,571.7603,524.3778,767.6251,591.9076
20211025,0,11215730,1233.6172,1407.519,1483.3558,1428.6104
20211025,0,11200720,497.3185,790.4432,721.4766,767.6907
20211025,0,11215710,2938.0372,3412.1584,4933.1044,3504.8633
20211025,0,11200790,758.0001,1058.2264,1114.586,1048.8332
20211025,0,11215770,796.344,1156.6637,890.3264,1205.3128
20211025,0,11215840,765.7185,936.4306,910.7709,994.0135
20211025,0,11215760,469.9698,653.0728,506.4912,629.8528
20211025,0,11215750,620.1525,1082.0119,897.7562,1368.262
20211025,0,11215780,461.8119,678.6532,618.3773,948.4637
20211025,0,11215830,647.6278,913.463,717.1476,1024.2421
20211025,0,11215820,1035.1973,1483.5485,1562.987,1746.9366
20211025,0,11215810,977.4837,891.727,1239.9234,950.6039
20211025,0,11215860,671.944,739.8571,785.4922,935.0995
20211025,0,11230740,2199.2427,1607.9688,3669.5013,1528.3833
20211025,0,11230570,545.4837,522.5988,642.6471,510.1944
20211025,0,11215850,1012.3969,1694.0546,1350.0569,1881.8004
20211025,0,11230560,1520.7225,1496.0233,1733.6248,1381.434
20211025,0,11215870,716.198,795.0109,960.8442,1093.465
20211025,0,11230545,2001.8085,1889.5919,2527.2599,1543.5232
20211025,0,11230536,1124.4278,1720.4762,1667.8137,1840.0105
20211025,0,11230650,815.3787,1327.1115,1240.1114,1555.1608
20211025,0,11230730,1531.7585,1406.6226,1977.7566,1049.5959
20211025,0,11230610,575.7998,840.4138,684.2582,936.3627
20211025,0,11230600,629.495,848.72,815.031,1012.2526
20211025,0,11230720,1026.6217,1040.902,1998.2838,1052.8977
20211025,0,11230660,664.9597,834.4433,850.3856,866.0352
20211025,0,11230710,1499.7782,1236.4435,2383.5558,1198.7797
20211025,0,11230705,652.9253,607.5774,692.7443,588.5895
20211025,0,11260575,687.2826,811.9526,654.7627,832.4179
20211025,0,11260680,872.4269,1080.8595,928.1511,1260.5874
20211025,0,11350570,661.229,568.0643,673.311,611.7543
20211025,0,11290725,662.957,962.1745,1379.5172,1081.4668
20211025,0,11260570,556.8355,834.4931,606.9674,839.7329
20211025,0,11260540,468.6678,720.6151,603.7571,675.4823
20211025,0,11260565,973.0654,1320.1914,1116.7582,1470.6341
20211025,0,11260550,370.9998,426.1403,423.9453,481.0661
20211025,0,11260600,556.4635,750.2759,665.1768,841.2318
20211025,0,11260660,455.018,545.2966,491.6613,566.7773
20211025,0,11260590,708.9576,1379.8494,1184.8592,1841.044
20211025,0,11260580,484.3132,638.0647,627.7855,824.3975
20211025,0,11260610,736.0283,838.5882,834.0489,1102.8653
20211025,0,11260655,952.0427,1277.4208,1024.2294,1309.4279
20211025,0,11260630,512.784,740.2243,663.2031,782.0237
20211025,0,11260620,752.5859,1020.5353,954.9741,1154.8706
20211025,0,11290525,729.4428,749.7394,794.7653,905.0094
20211025,0,11290715,601.026,645.8524,786.4495,675.1824
20211025,0,11290600,2159.9482,1692.8719,2635.3936,1246.7866
20211025,0,11260690,463.2634,560.0526,551.7952,613.3734
20211025,0,11290590,402.2094,422.1651,512.8692,498.4972
20211025,0,11290555,987.1112,1022.2193,1625.3871,1314.4588
20211025,0,11290580,381.7292,428.8526,599.1533,519.626
20211025,0,11290575,1066.5058,1226.4074,2473.0274,1451.6045
20211025,0,11290630,687.8238,655.6023,882.2312,737.5437
20211025,0,11290705,1624.7186,1755.5392,2179.0239,1604.8772
20211025,0,11290620,384.7035,433.9324,566.4152,394.2285
20211025,0,11290610,684.5915,807.3659,833.1895,930.3969
20211025,0,11290685,413.201,373.3051,517.2313,461.4692
20211025,0,11290640,1359.3218,953.6442,1485.195,678.247
20211025,0,11290660,874.2372,758.3565,1049.9126,774.1772
20211025,0,11290650,646.6133,596.6413,937.1415,646.8664
20211025,0,11290760,684.7637,784.8636,899.7447,845.2623
20211025,0,11305535,686.8124,916.5499,1166.8814,922.5815
20211025,0,11350560,1779.991,1105.0932,1338.3335,793.2269
20211025,0,11305630,961.046,1296.3806,1334.1184,1256.5557
20211025,0,11305534,784.1011,880.2508,846.5287,801.4432
20211025,0,11290770,388.969,468.7996,502.0664,516.1451
20211025,0,11290810,925.8497,1157.4819,1347.5932,1060.5793
20211025,0,11290780,207.1547,251.7665,265.5158,337.412
20211025,0,11305575,532.0882,523.4152,744.9717,540.4634
20211025,0,11305620,536.9858,683.1378,804.9634,763.8091
20211025,0,11305555,653.6197,858.897,911.1273,845.3595
20211025,0,11305545,1002.9738,1300.3657,1452.5731,1326.418
20211025,0,11305610,787.2336,875.7741,748.6026,874.5181
20211025,0,11305590,711.5143,778.3724,942.032,848.1961
20211025,0,11305606,472.61,472.6282,504.6628,582.924
20211025,0,11305600,471.3263,588.9372,675.4399,648.9751
20211025,0,11305660,908.9511,1046.3476,1165.1257,1147.3106
20211025,0,11320710,720.8102,706.9344,675.9458,795.8413
20211025,0,11320515,489.1208,673.06,628.2792,728.661
20211025,0,11305645,556.0713,604.1646,959.6773,729.6733
20211025,0,11320514,809.0188,879.7185,957.7672,872.4631
20211025,0,11320511,558.3288,787.2191,859.868,869.9839
20211025,0,11320513,395.0956,404.9354,409.6016,411.2008
20211025,0,11320512,1045.9499,1192.4353,1273.7301,1168.8448
20211025,0,11320660,529.093,587.522,842.3646,624.3031
20211025,0,11320700,369.352,433.2635,342.4214,356.6622
20211025,0,11320522,543.384,617.2799,583.5364,738.2692
20211025,0,11320521,486.1736,562.6921,489.5284,531.4916
20211025,0,11320690,647.2986,873.7574,679.4787,799.462
20211025,0,11320670,496.0549,671.6933,599.768,759.2993
20211025,0,11320681,364.0723,447.0351,442.6357,499.5247
20211025,0,11320680,434.1608,617.9622,613.7344,680.1524
20211025,0,11380631,767.1356,976.2243,819.9279,1074.3963
20211025,0,11350665,715.6448,627.0519,701.1383,650.2775
20211025,0,11440730,914.4989,1389.9108,1709.1218,2048.293
20211025,0,11740530,713.571,716.8635,802.2058,781.303
20211025,0,11740520,825.8094,1004.4918,1095.4413,1137.8943
20211025,0,11560515,527.2232,918.4113,695.4178,892.2301
20211025,0,11740620,726.5678,1342.5966,1043.6957,1657.3521
20211025,0,11350640,912.9384,931.534,1038.721,869.3889
20211025,0,11350619,571.5032,507.4541,749.0759,482.7417
20211025,0,11350612,438.0359,416.6552,519.4711,495.5544
20211025,0,11350611,1432.3687,934.6283,1342.4155,945.8348
20211025,0,11350621,750.9908,542.0269,964.4334,675.12
20211025,0,11350630,1293.5045,1123.7332,1262.8613,1392.3798
20211025,0,11350625,924.2452,893.4295,1161.7767,943.0126
20211025,0,11350624,566.1367,418.383,513.1438,493.4922
20211025,0,11380520,899.1872,1162.7757,1095.793,1430.1708
20211025,0,11350695,1292.1674,1435.4623,1561.8119,1612.2796
20211025,0,11350670,639.0232,551.7319,713.9282,615.1151
20211025,0,11380625,1169.4164,1480.4065,1501.0488,1864.0823
20211025,0,11380510,949.6018,1263.4828,1305.0167,1546.4345
20211025,0,11350700,535.6929,540.237,616.3737,667.3495
20211025,0,11350720,300.1557,309.1172,374.3779,425.6362
20211025,0,11350710,561.5274,632.4267,589.3911,702.9882
20211025,0,11380600,708.4008,877.2591,881.7065,853.8168
20211025,0,11380552,712.4467,940.6292,856.0451,932.4871
20211025,0,11380551,802.8759,1101.9198,984.9355,1148.9733
20211025,0,11380530,709.8923,1123.6725,902.1426,1266.3335
20211025,0,11380590,312.4608,422.577,478.9539,403.0196
20211025,0,11380560,806.1381,946.9444,975.2866,1036.3288
20211025,0,11380580,744.3644,933.0539,1029.4697,1186.5672
20211025,0,11380570,1025.2283,1417.5224,1473.1677,1801.0504
20211025,0,11380632,445.7854,575.9002,519.5826,599.9214
20211025,0,11410690,285.6204,343.1677,358.0137,464.8475
20211025,0,11410555,846.1202,1322.7435,1633.762,1546.0147
20211025,0,11440720,755.4363,966.9086,904.0228,1261.7302
20211025,0,11410520,558.0247,475.5263,500.2826,440.3679
20211025,0,11380640,444.2308,435.7619,516.2581,505.2872
20211025,0,11380690,1506.8412,1404.0352,1834.4998,2144.8624
20211025,0,11380650,341.6493,353.3322,325.6467,373.7948
20211025,0,11410615,1894.2534,2611.1157,2667.5315,2425.8901
20211025,0,11410685,837.7393,1002.9608,1300.0519,1100.8275
20211025,0,11410585,2627.6791,2912.2609,5808.1102,3918.1651
20211025,0,11410565,777.0844,1138.0368,1588.3714,1446.9276
20211025,0,11410620,787.9173,774.2904,1023.6444,865.7612
20211025,0,11410660,439.9143,501.4054,551.3003,559.4667
20211025,0,11410655,307.7807,289.0838,372.6554,332.2732
20211025,0,11410640,425.1802,540.2406,650.43,552.5725
20211025,0,11410710,300.8782,382.9838,444.6906,462.842
20211025,0,11440710,807.7139,1100.6436,1178.756,1429.8452
20211025,0,11440590,490.0334,799.365,735.666,912.3187
20211025,0,11410700,1024.746,996.0088,1530.1426,1132.5433
20211025,0,11440585,318.9607,523.9358,458.0105,692.2342
20211025,0,11410720,999.9773,1259.9796,1451.3535,1516.2304
20211025,0,11440565,1016.5383,1539.3926,1677.5467,2126.022
20211025,0,11440555,431.1606,639.3772,667.5598,903.5272
20211025,0,11440630,727.8325,883.1532,825.8301,760.71
20211025,0,11440700,494.7041,696.6826,737.5327,992.6669
20211025,0,11440610,338.495,431.5827,525.8987,622.7463
20211025,0,11440600,1152.4389,1319.6282,1977.5398,1335.6136
20211025,0,11440690,650.9639,1069.8398,931.4376,1293.6825
20211025,0,11440655,1428.7725,1469.7121,2187.0699,1488.2098
20211025,0,11440680,546.7056,1012.5455,887.3077,1372.1138
20211025,0,11440660,2273.1819,2906.4683,3566.3096,3416.4199
20211025,0,11470540,639.4288,654.6024,717.8662,764.1534
20211025,0,11470620,498.3736,466.3405,543.2846,468.7531
20211025,0,11545710,356.4218,561.8055,434.1014,497.5123
20211025,0,11500603,926.782,1997.5021,1842.8862,3018.1992
20211025,0,11440740,899.8842,1241.5939,1229.1859,1336.8789
20211025,0,11470530,509.8157,709.506,579.8497,852.0286
20211025,0,11470520,947.8968,1112.7304,873.3966,1416.2712
20211025,0,11470510,864.9633,710.8693,910.1727,803.7914
20211025,0,11470570,404.2325,634.8057,501.2252,636.4135
20211025,0,11470611,416.1172,483.0133,435.478,415.465
20211025,0,11470560,311.799,637.3559,461.9682,672.23
20211025,0,11470550,791.0492,769.8427,1073.2702,826.2354
20211025,0,11470580,407.384,480.5631,370.192,522.7559
20211025,0,11470610,144.6476,179.1528,146.7005,168.6331
20211025,0,11470600,210.0617,383.0527,212.8174,324.5033
20211025,0,11470590,295.842,359.299,349.357,412.6961
20211025,0,11470640,1049.9789,1157.7747,1413.7391,1391.4024
20211025,0,11500593,883.9983,1325.2853,1089.6641,1450.7618
20211025,0,11500520,595.342,1128.9654,946.9217,1763.8829
20211025,0,11470630,392.6368,401.2992,441.6284,398.0384
20211025,0,11500510,590.0694,1087.8806,845.9141,1515.6259
20211025,0,11470650,974.6662,1379.3954,1249.8872,1426.0795
20211025,0,11470680,530.6469,546.6991,532.8162,600.8371
20211025,0,11470670,479.3925,538.5001,569.2182,519.2046
20211025,0,11500540,1366.5812,2615.1813,1945.0466,3089.5131
20211025,0,11500591,656.7764,1208.7083,803.3054,1399.9825
20211025,0,11500535,1080.4124,1404.129,1329.1121,1907.0303
20211025,0,11500530,481.0538,747.1235,527.657,926.4179
20211025,0,11500590,885.9435,1625.9234,1277.4742,1832.0098
20211025,0,11500550,349.4179,491.7049,433.0665,550.6893
20211025,0,11500570,492.9766,718.8767,579.584,762.6539
20211025,0,11500560,483.6732,739.7717,693.1434,873.9086
20211025,0,11500604,219.7858,373.1001,354.9506,511.4625
20211025,0,11500630,742.6885,1048.6634,784.2737,1163.2707
20211025,0,11545700,266.0874,577.5999,405.0882,539.4576
20211025,0,11530595,274.4358,812.2858,438.116,655.8518
20211025,0,11500620,756.3881,1215.1783,952.5609,1232.1361
20211025,0,11500605,183.884,393.7386,284.4522,520.9308
20211025,0,11500615,659.0365,924.8557,1076.4092,1121.2527
20211025,0,11500611,946.5868,967.751,1074.3862,1085.0706
20211025,0,11530510,638.3248,1019.0205,914.8006,1108.4333
20211025,0,11530560,654.8562,1339.174,1112.1192,1616.6947
20211025,0,11500641,311.4265,577.176,398.0716,602.6744
20211025,0,11500640,554.1407,859.1716,688.1107,896.9556
20211025,0,11530550,335.7778,556.1887,443.5559,626.7743
20211025,0,11530520,402.6805,562.6595,490.5546,671.1823
20211025,0,11530540,618.1181,1595.4415,878.8217,1415.5781
20211025,0,11530530,565.9989,1073.2953,837.9084,1164.1379
20211025,0,11530730,489.9471,731.3369,668.3489,663.5893
20211025,0,11545690,265.0351,331.8287,235.625,284.3
20211025,0,11530780,1185.0473,1674.5196,1590.6935,1925.4123
20211025,0,11530720,729.2142,747.1061,815.5318,708.2285
20211025,0,11530770,457.9274,799.462,687.1848,904.747
20211025,0,11530740,808.5939,1041.8383,989.0815,1109.7608
20211025,0,11530760,443.2694,635.8848,437.9414,592.883
20211025,0,11530750,688.2103,833.0242,831.2098,883.4903
20211025,0,11545610,1077.423,1832.4286,1159.4973,1912.1884
20211025,0,11545680,320.9254,420.0458,445.8132,508.1288
20211025,0,11545510,1283.8845,3008.8954,1598.3605,2548.1119
20211025,0,11530790,632.5302,859.9973,673.8082,835.5858
20211025,0,11545670,681.1335,1131.5939,886.2155,1188.2955
20211025,0,11545620,495.8438,861.8787,544.2116,781.0999
20211025,0,11545640,324.0484,541.7168,402.1132,546.3419
20211025,0,11545630,631.7677,1270.0284,802.1398,1355.864
20211025,0,11560550,590.5218,1191.3162,833.6378,1303.0574
20211025,0,11560670,163.0837,211.4066,156.5102,183.5922
20211025,0,11590651,327.5057,571.6011,405.1429,570.4262
20211025,0,11650580,405.6927,431.0308,495.1881,375.0816
20211025,0,11740610,1080.6505,1624.3811,1356.4115,1906.6989
20211025,0,11740515,1137.4224,1102.8134,1328.3176,1274.7537
20211025,0,11560540,1011.7128,1244.6444,1051.4179,1388.6884
20211025,0,11560535,1181.1548,2803.7902,2009.9998,3200.2194
20211025,0,11560605,600.3907,943.2087,767.2786,1112.856
20211025,0,11560660,217.4932,291.8928,235.4577,397.501
20211025,0,11560585,388.6705,759.6692,478.8047,779.2974
20211025,0,11560560,922.002,1881.6088,1566.6294,2547.0229
20211025,0,11560650,375.6556,627.198,394.5831,682.6382
20211025,0,11560610,386.0153,874.012,680.2182,1114.9992
20211025,0,11560630,524.006,1212.937,693.5928,1030.4753
20211025,0,11560620,631.9417,1170.5358,832.0332,1616.4306
20211025,0,11560690,461.5571,529.3179,518.2912,596.9192
20211025,0,11590650,452.1683,890.9922,613.4697,889.1754
20211025,0,11590520,785.5635,1210.9404,986.409,818.328
20211025,0,11560680,621.0463,937.6849,804.2241,1108.324
20211025,0,11590510,2032.6646,2974.7749,2045.5545,2078.8295
20211025,0,11560700,357.3409,530.6343,469.029,561.4108
20211025,0,11560720,601.7408,941.7679,791.9595,1030.1563
20211025,0,11560710,350.0522,744.1399,538.129,687.6128
20211025,0,11590550,525.1043,940.6521,797.7712,1221.3273
20211025,0,11590640,502.8744,744.0379,683.6769,854.7296
20211025,0,11590540,735.7981,916.555,809.6054,1094.0424
20211025,0,11590530,3011.4813,2775.3358,3461.2531,2348.0007
20211025,0,11590630,823.058,914.9322,967.4083,1110.4932
20211025,0,11590560,782.0681,1213.9536,955.9815,1426.1519
