sgg_nm,shape,address
서초구,개방형흡연부스,서울특벽시 서초구 방배2동 2476
서초구,개방형흡연부스,서울특별시 서초구 서초동 1319-5
서초구,개방형흡연부스,서울특별시 서초구 방배동 910-9
서초구,개방형흡연부스,서울특별시 서초구 방배동 450-14
서초구,개방형흡연부스,서울특별시 서초구 서초대로 78길 24
서초구,개방형흡연부스,서울특별시 서초구 서초대로 78길 42
서초구,개방형흡연부스,서울특별시 서초구 양재대로12길 73-19
서초구,개방형흡연부스,서울특별시 서초구 방배동 438-38
서초구,개방형흡연부스,서울특별시 서초구 방배동 455-10
서초구,개방형흡연부스,서울특별시 서초구 방배동 452-1
서초구,라인형흡연구역,서울특별시 서초구 서초동1366-4
서초구,라인형흡연구역,서울특별시 서초구 강남대로 221
서초구,폐쇄형흡연부스,서울특별시 서초구 남부순환로 2584
서초구,개방형흡연구역,서울특별시 서초구 강남대로 465
서초구,개방형흡연구역,서울특별시 서초구 강남대로 213
서초구,부분개방형흡연실,서울특별시 서초구 강남대로 193
서초구,부분개방형흡연부스,서울특별시 서초구 신반포로 176
서초구,부분개방형흡연부스,서울특별시 서초구 신반포로 177
서초구,개방형흡연구역,서울특별시 서초구 신반포로 178
서초구,부분개방형흡연구역,서울특별시 서초구 신반포로 188
서초구,라인형흡연구역,서울특별시 서초구 남부순환로350길 36
서초구,라인형흡연구역,서울특별시 서초구 강남대로30길 7
서초구,라인형흡연구역,서울특별시 서초구 남부순환로 263
서초구,라인형흡연구역,서울특별시 서초구 논현로31길 9
서초구,라인형흡연구역,서울특별시 서초구 바우뫼로 201
서초구,라인형흡연구역,서울특별시 서초구 강남대로 148
서초구,라인형흡연구역,서울특별시 서초구 양재천로21길 29
서초구,라인형흡연구역,서울특별시 서초구 양재천로21길 3
서초구,라인형흡연구역,서울특별시 서초구 강남대로27길 7-21
서초구,라인형흡연구역,서울특별시 서초구 양재천로19길 34 
서초구,라인형흡연구역,서울특별시 서초구 바우뫼로 128
서초구,라인형흡연구역,서울특별시 서초구 강남대로 193
서초구,라인형흡연구역,서울특별시 서초구 강남대로 213
서초구,라인형흡연구역,서울특별시 서초구 강남대로 221
서초구,비대면흡연부스,서울특별시 서초구 바우뫼로21길 10
서초구,비대면흡연부스,서울특별시 서초구 바우뫼로27길 13
서초구,비대면흡연부스,서울특별시 서초구 강남대로27길 7-9
서초구,라인형흡연구역,서울특별시 서초구 양재동 261-22
서초구,라인형흡연구역,서울특별시 서초구 마방로10길 25
서초구,비대면흡연부스,서울특별시 서초구 논현로 31
서초구,라인형흡연구역,서울특별시 서초구 논현로1길 23
서초구,라인형흡연구역,서울특별시 서초구 동산로16길 34
서초구,라인형흡연구역,서울특별시 서초구 논현로1길 83
서초구,라인형흡연구역,서울특별시 서초구 강남대로8길 77
서초구,라인형흡연구역,서울특별시 서초구 강남대로6길 60-23
서초구,라인형흡연구역,서울특별시 서초구 강남대로4길 5
서초구,라인형흡연구역,서울특별시 서초구 강남대로6길 16
서초구,라인형흡연구역,서울특별시 서초구 강남대로8길 3
서초구,라인형흡연구역,서울특별시 서초구 강남대로10길 21
서초구,라인형흡연구역,서울특별시 서초구 마방로2길 26
서초구,라인형흡연구역,서울특별시 서초구 양재동 221-3
서초구,라인형흡연구역,서울특별시 서초구 논현로 27
서초구,비대면흡연부스,서울특별시 서초구 논현로 71
서초구,라인형흡연구역,서울특별시 서초구 동산로2길 27
서초구,비대면흡연부스,서울특별시 서초구 양재동 316
서초구,비대면흡연부스,서울특별시 서초구 강남대로27 AT센터
서초구,비대면흡연부스,서울특별시 서초구 매헌로16길 32
