"","address","purpose1","purpose2","lon","lat"
"1","서울특별시 서초구 방배동 1-3","제2종근린생활시설","일반음식점",126.9947681,37.4941391
"2","서울특별시 서초구 방배동 1-4","단독주택","다가구주택",126.9931823,37.4960169
"3","서울특별시 서초구 방배동 1-7","공동주택","아파트",126.993939,37.493986
"4","서울특별시 서초구 방배동 1-7","공동주택","아파트",126.993939,37.493986
"5","서울특별시 서초구 방배동 1-11","공동주택","아파트",126.9939802,37.4959669
"6","서울특별시 서초구 방배동 1-12","공동주택","연립주택",126.9947273,37.4951605
"7","서울특별시 서초구 방배동 1-15","공동주택","아파트",126.9942317,37.4952662
"8","서울특별시 서초구 방배동 1-16","단독주택","단독주택",126.9937273,37.4951772
"9","서울특별시 서초구 방배동 1-17","단독주택","단독주택",126.9942432,37.4949978
"10","서울특별시 서초구 방배동 1-18","공동주택","아파트",126.9940103,37.4949066
"11","서울특별시 서초구 방배동 1-19","공동주택","아파트",126.9940066,37.4946786
"12","서울특별시 서초구 방배동 1-21","공동주택","아파트",126.9944144,37.4945442
"13","서울특별시 서초구 방배동 1-22","공동주택","연립주택",126.9941484,37.4943077
"14","서울특별시 서초구 방배동 1-27","공동주택","연립주택",126.9949783,37.4949049
"15","서울특별시 서초구 방배동 1-28","단독주택","단독주택",126.9951494,37.4947127
"16","서울특별시 서초구 방배동 1-29","공동주택","아파트",126.9948929,37.494533
"17","서울특별시 서초구 방배동 1-35","공동주택","아파트",126.9935288,37.495481
"18","서울특별시 서초구 방배동 1-37","공동주택","다세대주택",126.9937349,37.4943636
"19","서울특별시 서초구 방배동 1-38","단독주택","단독주택",126.9934071,37.4944347
"20","서울특별시 서초구 방배동 1-39","공동주택","아파트",126.9935658,37.4947451
"21","서울특별시 서초구 방배동 1-40","공동주택","아파트",126.9935049,37.4950645
"22","서울특별시 서초구 방배동 1-43","공동주택","아파트",126.9931825,37.4945662
"23","서울특별시 서초구 방배동 1-45","공동주택","아파트",126.9951572,37.4943884
"24","서울특별시 서초구 방배동 1-55","단독주택","단독주택",126.9931016,37.4957909
"25","서울특별시 서초구 방배동 1-56","공동주택","아파트",126.9928086,37.4953838
"26","서울특별시 서초구 방배동 1-57","공동주택","아파트",126.9930699,37.4952915
"27","서울특별시 서초구 방배동 1-58","공동주택","연립주택",126.9933314,37.4953568
"28","서울특별시 서초구 방배동 1-59","공동주택","연립주택",126.9936746,37.4945532
"29","서울특별시 서초구 방배동 1-60","공동주택","아파트",126.9935419,37.4943314
"30","서울특별시 서초구 방배동 1-62","제1종근린생활시설","기타공공시설",126.9944855,37.4955603
"31","서울특별시 서초구 방배동 1-62","공동주택","아파트",126.9944855,37.4955603
"32","서울특별시 서초구 방배동 1-97","단독주택","단독주택",126.9932526,37.4955804
"33","서울특별시 서초구 방배동 1-106","공동주택","아파트",126.9943254,37.4940064
"34","서울특별시 서초구 방배동 1-115","공동주택","연립주택",126.9952092,37.4941356
"35","서울특별시 서초구 방배동 1-119","공동주택","아파트",126.9938532,37.4956549
"36","서울특별시 서초구 방배동 1-131","단독주택","다가구주택",126.9947239,37.494737
"37","서울특별시 서초구 방배동 1-133","공동주택","연립주택",126.994588,37.4943313
"38","서울특별시 서초구 방배동 1-138","제2종근린생활시설","일반음식점",126.9947588,37.4939912
"39","서울특별시 서초구 방배동 1-140","공동주택","다세대주택",126.9937417,37.4938573
"40","서울특별시 서초구 방배동 12","공동주택","다세대주택",126.9910183,37.4950514
"41","서울특별시 서초구 방배동 12-1","공동주택","아파트",126.9927912,37.4960874
"42","서울특별시 서초구 방배동 12-2","공동주택","연립주택",126.9906259,37.4959797
"43","서울특별시 서초구 방배동 12-2","공동주택","연립주택",126.9906259,37.4959797
"44","서울특별시 서초구 방배동 12-5","공동주택","아파트",126.9926936,37.4956901
"45","서울특별시 서초구 방배동 12-9","공동주택","연립주택",126.9922991,37.4960129
"46","서울특별시 서초구 방배동 12-10","단독주택","단독주택",126.9919938,37.496013
"47","서울특별시 서초구 방배동 12-11","공동주택","연립주택",126.9917198,37.4959548
"48","서울특별시 서초구 방배동 12-12","단독주택","단독주택",126.9917702,37.4957327
"49","서울특별시 서초구 방배동 12-13","공동주택","연립주택",126.9922263,37.4957952
"50","서울특별시 서초구 방배동 12-14","단독주택","단독주택",126.992287,37.4955686
"51","서울특별시 서초구 방배동 12-15","공동주택","연립주택",126.9919796,37.4954669
"52","서울특별시 서초구 방배동 12-16","단독주택","단독주택",126.9920882,37.4953011
"53","서울특별시 서초구 방배동 12-17","단독주택","단독주택",126.9924129,37.4952057
"54","서울특별시 서초구 방배동 12-18","단독주택","단독주택",126.9922208,37.4951112
"55","서울특별시 서초구 방배동 12-19","공동주택","연립주택",126.9928731,37.4950402
"56","서울특별시 서초구 방배동 12-20","단독주택","단독주택",126.9925521,37.4949419
"57","서울특별시 서초구 방배동 12-22","단독주택","단독주택",126.9928565,37.4948454
"58","서울특별시 서초구 방배동 12-30","단독주택","단독주택",126.9915509,37.4955578
"59","서울특별시 서초구 방배동 12-32","단독주택","단독주택",126.9914215,37.4952639
"60","서울특별시 서초구 방배동 12-34","제2종근린생활시설","학원",126.9917677,37.495165
"61","서울특별시 서초구 방배동 12-35","단독주택","단독주택",126.9915653,37.4950768
"62","서울특별시 서초구 방배동 12-36","공동주택","아파트",126.9920257,37.4948978
"63","서울특별시 서초구 방배동 12-37","공동주택","다세대주택",126.9919409,37.4947277
"64","서울특별시 서초구 방배동 12-38","단독주택","단독주택",126.9922592,37.4947764
"65","서울특별시 서초구 방배동 12-39","단독주택","단독주택",126.9925318,37.4946841
"66","서울특별시 서초구 방배동 12-40","교육연구시설","학원",126.9927459,37.4945742
"67","서울특별시 서초구 방배동 12-41","단독주택","단독주택",126.9930657,37.4944228
"68","서울특별시 서초구 방배동 12-45","공동주택","다세대주택",126.9897708,37.4955696
"69","서울특별시 서초구 방배동 12-45","공동주택","다세대주택",126.9897708,37.4955696
"70","서울특별시 서초구 방배동 12-53","단독주택","단독주택",126.9928822,37.4945303
"71","서울특별시 서초구 방배동 12-56","공동주택","연립주택",126.9911936,37.4956422
"72","서울특별시 서초구 방배동 12-57","공동주택","연립주택",126.9913506,37.4959111
"73","서울특별시 서초구 방배동 12-58","공동주택","아파트",126.9914406,37.495692
"74","서울특별시 서초구 방배동 12-59","단독주택","단독주택",126.9899299,37.4955971
"75","서울특별시 서초구 방배동 12-60","공동주택","아파트",126.9902366,37.4955799
"76","서울특별시 서초구 방배동 12-63","공동주택","다세대주택",126.9907567,37.4955889
"77","서울특별시 서초구 방배동 12-64","단독주택","단독주택",126.9909146,37.4956191
